BCCvolume_pa_difference,BCCefflatcnt_max_value,BCCefflatcnt_difference,BCCvolume_pa_max_value,n_ws^third_difference,CovalentRadius_difference,ICSDVolume_max_value,AtomicRadii_difference,AtomicRadii_max_value,CovalentRadius_max_value,ICSDVolume_difference,valence_max_value,MendeleevNumber_arithmetic_average,NdUnfilled_arithmetic_average,GSenergy_pa_max_value,BCCenergy_pa_max_value,GSenergy_pa_min_value,valence_arithmetic_average,BCCfermi_arithmetic_average,BCCenergy_pa_min_value,valence_composition_average,ElasticModulus_difference,BCCfermi_composition_average,MendeleevNumber_composition_average,n_ws^third_arithmetic_average
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.82,100.0,39.7,1.17,1.9,166.0,22.4,5.0,45.33333333333333,2.0,-1.26024138333,-1.2544847,-1.26024138333,2.6666666666666665,3.09686825,-1.2544847,2.4,99.0,3.08753435,62.0,0.82
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.8099999999999999,104.0,39.7,1.17,1.9,170.0,22.4,5.0,45.66666666666667,2.333333333333333,-1.26024138333,-1.2544847,-1.26024138333,2.6666666666666665,3.275008743333333,-1.2544847,2.4,178.0,3.1944186460000004,62.2,0.8166666666666667
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.91,100.0,39.7,1.17,1.9,166.0,27.700000000000006,6.0,46.0,1.6666666666666667,-1.26024138333,-1.2544847,-1.26024138333,3.0,4.121941783333334,-1.2544847,2.6,254.0,3.70257847,62.40000000000001,0.85
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.95,100.0,39.7,1.17,1.9,166.0,24.200000000000006,6.0,46.33333333333334,1.6666666666666667,-1.26024138333,-1.2544847,-1.26024138333,3.0,4.3419268466666665,-1.2544847,2.6,317.0,3.834569508,62.6,0.8633333333333333
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.99,100.0,39.7,1.17,1.9,166.0,23.9,6.0,46.66666666666667,2.0,-1.26024138333,-1.2544847,-1.26024138333,3.0,3.922753063333333,-1.2544847,2.6,396.0,3.583065238,62.8,0.8766666666666667
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.7900000000000001,100.0,39.7,1.17,1.9,166.0,27.500000000000004,7.0,47.0,1.6666666666666667,-1.26024138333,-1.2544847,-1.26024138333,3.333333333333333,3.987908453333333,-1.2544847,2.8,193.0,3.6221584719999997,63.0,0.81
21.880000000000006,7.760395346,2.8655235770000003,29.21,1.0300000000000002,100.0,39.7,1.17,1.9,166.0,25.000000000000004,7.0,47.66666666666667,1.6666666666666667,-1.26024138333,-1.2544847,-1.26024138333,3.333333333333333,4.3784933766666665,-1.2544847,2.8,456.0,3.856509426,63.40000000000001,0.89
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.95,100.0,39.7,1.17,1.9,166.0,28.000000000000004,6.0,48.0,1.3333333333333333,-1.26024138333,-1.2544847,-1.26024138333,3.0,3.61342537,-1.2544847,2.6,206.0,3.397468622,63.6,0.8633333333333333
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.57,100.0,39.7,1.17,1.9,166.0,23.1,3.0,54.0,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.0,4.050952033333333,-1.2544847,2.0,65.5,3.65998462,67.2,0.7366666666666666
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.4900000000000001,100.0,39.7,1.17,1.9,166.0,22.4,3.0,54.33333333333334,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.0,2.77954647,-1.2544847,2.0,6.0,2.897141282,67.4,0.71
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.35,100.0,39.7,1.17,1.9,166.0,22.4,3.0,54.66666666666667,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.0,4.2623501033333335,-1.2544847,2.0,9.0,3.786823462,67.60000000000001,0.6633333333333333
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.5500000000000002,100.0,39.7,1.17,1.9,166.0,22.4,4.0,56.0,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.333333333333333,2.9229417466666665,-1.2544847,2.2,110.0,2.9831784480000003,68.4,0.73
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.42,100.0,39.7,1.17,1.9,166.0,22.4,4.0,56.33333333333334,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.333333333333333,4.479776653333333,-1.2544847,2.2,45.0,3.917279392,68.6,0.6866666666666666
